Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
4/20,"74,993","27,893","5,169","43,831","13,100","49,156","93,754","-23,390","86,000","15,600","86,447","62,300","39,587","50,354","54,263","2,367","15,484","217,638","125,193","-55,755",,"1,916","15,072","-6,742","29,916","66,776","61,770","16,500","8,310","-24,395",,,,,,,,,,
5/20,"734,672","512,727","45,654","389,356","97,100","668,469","533,040","-36,192","284,000","-13,900","195,585","681,812","154,113","263,771","175,979","3,485","82,200","616,540","525,121","3,967",,"1,376","27,438","-15,596","28,161","6,774","12,480","4,100","-6,438","-189,814",,,,,,,,,,
6/20,"1,025,073","769,114","68,957","481,271","94,900","421,618","383,265","108,302","514,400","29,700","256,995","557,797","199,545","369,222","210,246","77,313","114,430","603,059","445,333","263,361",,668,0,"31,935","11,400","23,898","26,036","3,000","-14,535","-127,993",,,,,,,,,,
7/20,"404,277","346,928","34,505","201,877","20,700","177,112","131,731","39,345","268,100","24,200","74,779","146,996","71,851","109,643","99,161","103,945","35,379","290,008","278,876","305,819",,"1,672",144,"17,822","7,226","50,744","86,385","3,200","29,776","-127,072",,,,,,,,,,
8/20,"178,127","156,607","13,475","89,395","7,700","66,634","54,700","18,647","116,600","8,500","47,807","47,218","48,125","48,787","55,609","73,387","17,885","97,949","131,404","97,941",,"2,335","1,760","-2,742","9,414","101,597","95,345","12,100","-15,183","-61,448",,,,,,,,,,
9/20,"106,418","67,458","8,455","46,783","3,300","23,757","28,179","2,510","57,000","3,800","30,900","26,918","24,563","31,699","27,535","-2,545","7,307","42,937","39,624","43,929",,"1,396","78,755","40,827","9,907","-19,500","59,843","34,500","-2,060","-3,113",,,,,,,,,,
10/20,"83,106","59,996","9,047","37,953","4,600","32,514","30,562","1,145","48,000","2,800","16,808","23,800","13,690","25,561","26,209","8,633","3,425","36,695","33,270","37,182",,"2,176",1,"14,401","7,400","-13,648","39,972","1,000","-47,258","-4,881",,,,,,,,,,
11/20,"67,752","50,566","5,833","33,167","6,200","37,761","23,553","16,330","41,000","4,500","5,668","25,500","24,320","39,417","28,980","29,550","3,865","40,238","43,662","68,505",,"2,854","13,253","17,296","7,727","30,369","24,818",900,"-123,840","-74,906",,,,,,,,,,
12/20,"50,766","52,778","4,056","26,944","2,200","23,940","20,887","5,294","30,000",700,"12,921","27,000","1,050","32,689","22,131","-7,496","3,212","24,193","38,807","32,500",,"1,567","2,913","30,468","12,296","29,308","18,844","3,100","-123,423","-47,007",,,,,,,,,,
1/21,"49,619","52,413","3,564","25,436","3,500","32,062","16,911","5,159","27,000",600,"26,267","23,600","5,080","33,345","15,402","-4,797","3,247","22,565","42,435","30,663",,"2,426",737,"29,390","20,111","85,592","24,246","4,000","-2,463","-36,695",,,,,,,,,,
2/21,"38,960","46,148","3,417","20,583","3,700","31,883","20,381","9,386","25,000","2,700","36,964","27,700","19,630","45,366","22,292","-7,623","4,890","31,592","55,008","18,658",,"2,900","16,906","29,727","17,289","50,104","41,650","30,500","-13,061","6,432",,,,,,,,,,
3/21,"76,953","53,268","4,389","30,611","5,500","49,351","49,438","9,858","67,000","27,000","48,806","97,100","70,140","57,614","50,053","54,645","8,791","108,390","61,910","12,859",,"3,101","10,374","20,083","15,558","25,018","62,320","19,500","-18,673","-45,908",,,,,,,,,,
4/21,"103,032","28,425","4,884","57,116","15,100","55,435","100,264","-19,830","115,000","22,300","99,151","148,700","16,210","44,898","53,745","-41,880","16,468","125,888","39,177","-53,845",,"1,171","12,233","42,188","13,914","43,337","25,594","5,400","19,439","-27,192",,,,,,,,,,
5/21,"639,542","357,938","32,123","252,887","63,600","337,800","399,114","-50,654","276,500","-16,200","259,368","568,271","146,580","230,404","153,818","11,685","69,700","327,051","179,280","-58,698",,710,"7,449","13,321","14,304","126,626",-121,"1,300","2,182","-36,860",,,,,,,,,,
6/21,"1,176,384","821,074","80,972","508,956","103,200","437,846","455,023","128,641","751,500","54,000","310,408","699,668","253,030","500,856","247,600","149,471","135,861","510,648","363,248","778,845",,742,90,"108,271","5,839","62,244","38,846","1,000","18,726","-133,143",,,,,,,,,,
7/21,"372,525","314,799","39,730","200,152","22,800","150,731","143,614","30,612","205,600","21,800","100,780","137,223","100,900","144,722","102,017","93,161","39,546","224,425","235,067","169,185",,"3,199","4,586","-31,350","5,709","81,981","29,134","1,000","41,372","-148,209",,,,,,,,,,
8/21,"194,316","151,782","15,651","106,019","9,800","103,492","76,931","21,501","104,200","7,000","66,664","45,166","95,350","46,668","62,458","58,541","17,036","220,942","259,585","309,469",,"6,592","108,477","-1,840","7,604","-4,267","5,987","4,000","11,481","-107,280",,,,,,,,,,
9/21,"125,361","90,883","10,233","64,205","5,400","62,435","62,164","9,397","58,600","4,300","34,774","25,374","49,430","37,394","41,544","18,149","7,385","78,596","102,635","64,956",,"2,361","4,359","41,828","7,985","37,056","17,837","11,300","38,404","-59,813",,,,,,,,,,
10/21,"75,505","58,125","7,974","37,226","5,400","32,691","36,487","-1,817","46,000","1,700","24,327","19,249","7,623","21,510","26,050",518,"2,709","24,005","41,695","10,764",,"4,369","1,884","40,101","7,850","31,096","-5,570","2,500","34,838","-50,744",,,,,,,,,,
11/21,"63,162","57,518","5,270","32,730","4,500","34,612","24,864","8,125","39,000","4,800","20,306","17,700","4,983","24,506","22,104","7,201","2,069","22,445","24,055","-9,138",,"2,406",584,"27,481","10,208","97,406","16,491","2,200","-13,251","-4,844",,,,,,,,,,
12/21,"65,286","62,141","3,643","25,357","1,700","44,281","15,410","9,959","34,000","2,800","11,289","20,200","5,992","38,495","23,542","8,195","3,450","20,316","30,584","32,073",,"1,494",31,"32,716","20,629","132,348","16,580","7,900",250,"6,613",,,,,,,,,,
1/22,"50,157","50,986","3,360","23,640","3,700","30,393","11,929","4,813","29,000","1,700","24,343","18,400","3,975","26,016","14,036","-4,567","2,794","26,433","18,667","14,327",,"1,184",9,"25,274","26,026","101,622","-18,109","10,200","-17,136","-39,889",,,,,,,,,,
2/22,"46,971","37,657","3,314","21,686","3,800","22,453","10,960","3,231","25,000","2,700","34,772","21,300","2,961","29,748","19,958","-6,226","4,076","24,751","50,249","70,587",,"3,084",181,"19,413","29,306","60,694","-4,046","77,200","-29,109","-5,577",,,,,,,,,,
3/22,"75,605","56,297","4,203","30,797","5,500","33,761","40,139","12,080","74,000","37,000","67,185","46,700","15,972","36,996","45,796","33,459","9,781","82,785","58,015","101,806",,"4,248","54,898","19,588","27,413","44,569","-4,332","49,200","-37,551","-94,586",,,,,,,,,,
4/22,"102,674","57,805","4,705","64,295","18,000","92,421","149,546","-37,765","90,000","18,400","106,453","97,600","49,965","33,386","53,200","-37,729","16,650","210,558","142,142","-7,833",,"2,397","15,471","31,263","32,008","45,950","26,971","13,600","-23,257","-74,315",,,,,,,,,,
5/22,"472,774","442,518","32,336","297,674","71,300","571,479","475,871","-12,663","342,200","-4,900","226,862","436,814","230,971","268,822","189,493","210,370","73,476","446,520","355,980","-253,048",,"1,485",0,"-45,336","28,555","27,694","24,758","3,400","1,654","-66,764",,,,,,,,,,
6/22,"700,102","552,749","43,014","322,214","62,800","315,545","261,513","89,838","649,600","38,000","217,376","368,990","140,506","431,301","186,892","270,260","84,414","494,079","375,821","19,056",,726,8,"-40,161","11,661","78,059","45,584","2,500","-27,183","-88,417",,,,,,,,,,
7/22,"227,573","199,203","21,091","105,191","10,600","121,795","74,484","48,473","241,200","20,900","66,877","93,285","14,434","121,031","75,027","85,499","21,655","117,606","174,494","256,166",,"3,681",4,"-3,121","7,294","74,667","119,283","2,600","-10,245","-74,151",,,,,,,,,,
8/22,"126,765","107,364","9,675","72,395","5,600","65,582","55,865","6,351","131,100","12,200","53,206","31,372","7,089","66,394","40,518","20,640","12,451","61,478","69,022","132,900",,"2,530","1,545","46,355","9,886","68,516","90,563","10,000","14,199","-65,894",,,,,,,,,,
9/22,"88,307","66,218","9,194","32,044","3,400","35,645","33,354","8,683","73,900","5,700","21,333","19,094","4,933","44,675","30,512","15,343","6,175","29,947","29,653","59,174",,"1,872","75,639","47,645","10,332","-13,292","95,871","28,500","13,126","-49,849",,,,,,,,,,
10/22,"59,235","40,286","6,288","20,912","2,900","29,156","21,426","-10,671","45,300","1,300","27,782","13,104","3,579","20,226","18,795","-3,607","3,617","19,398","8,437",37,,371,"10,993","19,502","5,885","11,164","35,326","2,000","-7,113","56,845",,,,,,,,,,
11/22,"51,476","46,410","4,923","23,077","4,100","29,671","14,410","14,328","37,000","3,000","13,893","16,100","2,906","31,611","20,342","21,418","5,143","37,242","5,558","8,653",,919,0,"23,954","6,144","46,610","9,716","1,700","-23,141","-20,087",,,,,,,,,,
12/22,"49,008","56,203","5,210","18,790","2,400","34,895","14,130","8,038","30,000",700,"12,899","22,100","3,980","38,969","16,522","10,178","3,548","21,592","33,308","18,392",,696,133,"40,553","9,360","31,080","9,689","6,200","1,887","-6,593",,,,,,,,,,
1/23,"46,922","59,520","3,426","18,574","1,900","30,911","14,620","7,944","24,000",600,"21,889","19,600","5,990","35,250","16,130","8,744","3,881","22,778","25,022","2,031",,772,166,"27,100","31,041","-41,462","-16,633","8,000","-13,064","-36,802",,,,,,,,,,
2/23,"41,132","43,132","3,771","17,229","2,800","21,086","15,446","9,643","21,000","1,200","23,034","21,100","2,997","33,941","16,878","-5,024","3,505","33,883","49,717","-20,441",,"1,978","29,586",-685,"28,736","-35,519","-26,224","60,400","-26,760","30,918",,,,,,,,,,
3/23,"47,049","46,287","4,051","25,949","5,000","15,898","26,019","1,531","33,000","5,100","29,076","26,400","16,952","33,896","35,598","26,618","4,771","43,578","31,422","-30,442",,"1,667","42,480","8,239","26,684","7,952","43,381","38,500","-35,855","43,885",,,,,,,,,,
4/23,"92,987","100,874","7,324","61,676","17,800","48,526","155,818","-33,898","101,000","19,000","110,062","181,771","76,247","94,936","66,226","33,215","8,301","135,428","83,007","-63,554",,"1,259","10,392","19,291","44,834","-53,969","37,023","10,700","-18,345","26,619",,,,,,,,,,
5/23,"516,926","365,210","34,581","273,429","65,500","388,164","288,286","-65,228","351,000","-7,500","209,491","526,085","204,546","266,854","154,249","142,156","51,654","331,915","222,455","-290,659",,800,0,"-41,382","51,644","13,178","45,688","2,600","-38,257","-79,903",,,,,,,,,,
6/23,"930,901","526,711","60,720","373,308","76,200","285,898","197,255","24,940","454,400","20,800","240,222","430,626","145,854","357,238","180,697","157,715","108,712","342,613","235,092","-50,496",,365,0,"82,345","12,397","497,428","50,337","2,000","-47,532","-140,919",,,,,,,,,,
7/23,"449,785","342,146","44,078","187,904","23,900","161,889","96,635","33,794","383,900","33,800","90,407","140,950","24,513","151,969","107,642","88,294","43,707","163,985","171,871","257,270",,"1,553","3,527","-2,621","10,202","217,073","45,265","2,000","-5,478","-144,450",,,,,,,,,,
8/23,"203,799","159,109","19,654","114,716","9,200","105,633","65,018","6,287","143,600","11,500","53,465","45,942","6,739","63,473","60,122","62,321","20,032","101,999","170,978","241,168",,"2,810","77,948","10,859","9,884","106,055","7,369","7,800","11,118","-104,411",,,,,,,,,,
9/23,"109,083","89,161","12,201","67,437","5,800","55,464","41,262","-8,306","64,900","3,800","32,596","23,646","8,962","28,900","37,681","10,997","7,120","118,503","128,867","147,797",,"1,001","57,838","15,174","7,643","28,462","-3,462","22,300","25,828","-78,555",,,,,,,,,,
10/23,"111,254","59,957","11,698","49,302","5,900","53,347","20,233","2,574","66,000","8,800","24,798","26,184","12,384","43,318","35,300","10,465","5,400","67,020","76,949","41,043",,"2,419","1,582","21,824","9,489","114,292","32,576",600,"49,819","-89,540",,,,,,,,,,
11/23,"76,335","53,604","6,715","38,285","6,200","38,195","17,408","6,482","49,000","6,900","8,090","19,900","7,097","38,869","30,200","27,664","7,920","51,889","48,111","93,148",,"1,379",0,"119,414","12,627","125,749","6,286",600,"-23,124","-72,581",,,,,,,,,,
12/23,"52,703","50,644","5,324","23,676","1,700","34,675","10,837","4,275","32,000","1,800","8,688","15,300","4,270","34,389","29,400","5,774","3,355","40,449","34,551","32,045",,926,54,"171,370","11,390","52,262","7,595","2,000","-3,435","-26,964",,,,,,,,,,
1/24,"52,309","34,545","5,243","21,757","3,700","29,399","7,857","-4,433","29,000","1,700","15,011","15,000","4,274","22,859","27,000","-21,119","3,796","31,069","25,931","9,260",,922,12,"59,262","13,609","181,230","-7,505","2,500","4,815","-68,103",,,,,,,,,,
2/24,"48,601","48,996","3,734","22,266","3,900","27,224","18,677","15,578","28,000","3,600","15,657","15,500","5,162","44,037","24,100","15,084","5,561","32,883","82,117","29,865",,"1,706",464,"22,679","7,192","20,010","8,529","19,300","-24,044","31,523",,,,,,,,,,
3/24,"51,715","40,862","4,413","27,587","5,500","18,142","19,403","2,596","45,000","12,800","49,921","19,600","9,187","32,780","28,200","-3,495","7,081","34,953","36,647","53,418",,"1,529","67,265","-42,108","7,087","77,492","10,652","12,300","-25,298","30,134",,,,,,,,,,
4/24,"149,244","126,570","11,893","100,107","26,800","71,214","182,426","-31,103","142,000","25,900","67,456","150,139","95,594","99,819","31,500","65,347","14,982","220,496","126,473","-18,332",,"1,341","34,080","-6,264","14,774","72,466","51,829","3,400","-6,617","-6,604",,,,,,,,,,
5/24,"497,805","332,565","34,243","266,767","65,900","299,688","200,129","-39,612","247,000","-4,100","111,979","333,320","182,553","155,365","92,800","32,800","58,062","333,145","272,494","-88,531",,321,0,"-60,579","14,401","31,109","41,797",800,"3,297","-47,992",,,,,,,,,,
6/24,"814,116","421,825","53,345","304,583","59,700","299,386","125,507","26,250","221,700","4,700","27,543","309,803","79,057","106,302","122,000","136,615","62,229","281,433","195,076","177,488",,208,140,"27,024","5,534","82,701","48,919",600,"-66,032","-35,184",,,,,,,,,,
7/24,"259,635","199,777","14,952","98,930","10,500","103,698","46,473","43,641","127,500","18,600","15,404","67,041","11,374","34,491","35,600","105,737","17,349","80,835","100,129","237,200",,"2,160","16,005","34,714","9,250","213,756","48,157",700,"-59,101","-56,324",,,,,,,,,,
8/24,"99,639","63,685","7,096","47,374","4,300","46,004","22,440","16,557","57,400","8,200","26,382","24,717","4,214","16,183","28,200","34,049","9,228","42,086","45,664","77,401",,365,"10,842","25,378","5,938","72,080","36,253","2,500","12,357","-43,872",,,,,,,,,,
9/24,"66,221","52,793","10,654","21,884","2,500","25,328","16,601",-603,"44,700","1,600","17,073","18,738","3,122","20,557","25,100","-6,063","5,608","26,375","23,164","3,547",,"6,016","38,343","-8,656","15,542","45,790","-8,071","7,100","41,098","-7,765",,,,,,,,,,
10/24,"84,166","40,228","7,407","26,593","2,700","50,053","13,793","-8,748","42,000",200,"7,072","26,649","4,330","9,987","24,800","-2,787","1,551","20,101","21,403","17,963",,"1,166",0,"20,662","7,982","22,625","-10,454","1,400","-24,315","53,769",,,,,,,,,,
11/24,"67,813","29,822","5,188","27,812","5,000","42,251","7,755","4,466","36,000","2,600","8,972","24,100","8,942","21,016","22,600","5,844","3,528","31,823","6,977","35,390",,"1,279",980,"15,057","10,327","41,899","6,196","1,200","-30,216","-19,530",,,,,,,,,,
12/24,"45,164","34,181","5,473","21,527","1,900","31,497","6,341","3,382","28,000","1,200","6,991","22,100","7,000","16,161","22,400","-23,829","2,445","13,090","32,410","2,744",,815,"12,905","14,010","11,787","86,003","20,564","4,400","14,267","2,670",,,,,,,,,,
1/25,"45,183","29,541","3,602","21,398","2,600","30,536","6,593","-4,180","21,000",500,"15,775","18,400","4,959","19,300","21,500","-4,489","3,356","11,148","23,252","-3,640",,567,27,"10,658","13,846","-2,519","14,371","5,600","-16,479","-99,766",,,,,,,,,,
2/25,"40,804","31,682","3,747","19,253","4,200","30,003","10,347","4,361","23,000","1,900","15,783","17,700","3,965","30,921","22,400","4,780","4,720","15,756","29,244","76,726",,"1,571","1,645","22,608","12,632","2,069","10,254","42,400","-19,315","7,124",,,,,,,,,,
3/25,"77,956","28,821","4,983","35,017","7,900","45,537","20,022","1,358","55,000","17,900","57,308","41,800","22,007","31,650","36,200","3,389","10,957","51,298","45,002",327,,"1,319","11,353","47,094","11,231","-27,847","5,175","27,000","-18,224","-48,354",,,,,,,,,,
4/25,"166,733","105,002","13,037","118,963","33,000","109,928","136,409","-59,054","98,000","15,900","81,744","194,005","108,308","55,545","56,900","-38,305","14,690","137,472","75,632","45,914",,659,0,"15,407","18,225","7,070","37,947","7,500",176,"-6,545",,,,,,,,,,
5/25,"419,751","276,650","28,824","195,186","50,100","190,761","166,234","-27,497","218,300","-1,200","147,510","341,621","135,763","146,967","107,400","-49,611","42,199","209,884","176,824","-151,318",,192,0,"-22,942","12,975","-83,267","32,681","1,800","-28,063","-53,666",,,,,,,,,,
6/25,"470,355","310,362","28,952","180,476","35,100","170,756","127,481","24,992","339,700","22,200","84,407","221,067","78,323","151,567","98,900","25,134","49,670","230,875","134,538","128,690",,210,174,"10,326","11,784","6,950","92,467","1,400","6,369","-90,234",,,,,,,,,,
7/25,"236,521","213,013","19,889","116,093","10,200","133,043","77,686","28,083","322,000","34,600","28,363","79,554","31,356","97,519","68,300","99,758","26,865","132,641","135,331","151,335",,"2,420","2,895","45,720","5,891","139,702","111,181","1,400","34,648","-93,764",,,,,,,,,,
8/25,"125,275","105,935","11,271","79,399","5,400","53,022","48,629","1,984","137,900","8,400","46,043","31,067","19,132","54,520","43,100","27,926","15,045","89,459","82,265","20,022",,"7,644","59,863","5,663","20,741","-37,966","49,429","5,500","21,232","-32,012",,,,,,,,,,
9/25,"110,903","114,186","10,548","51,890","3,900","85,518","59,515","11,389","72,800","5,700","26,583","32,042","12,632","47,071","43,500","20,777","9,430","148,613","190,595","81,591",,"11,679",350,"120,070","8,257","9,288","15,237","15,600","52,575","-65,119",,,,,,,,,,
10/25,"91,396","57,676","9,421","38,579","5,000","84,124","39,400","6,182","65,300","12,500","4,048","33,200","23,663","62,438","47,400","32,047","7,359","99,097","140,842","138,711",,"17,703","6,470","22,558","5,328","43,138","33,005","1,700","49,239",-995,,,,,,,,,,
11/25,"64,705","44,817","5,850","33,150","4,600","36,731","19,005","14,739","45,000","9,200","6,339","23,300","12,953","33,895","37,200","21,058","7,372","45,490","54,510","84,255",,"1,289","3,962","8,435","6,178","23,285","14,987","1,500","5,412","-34,944",,,,,,,,,,
12/25,"48,559","41,816","4,969","21,031","1,600","33,888","9,046","10,919","39,000","4,000","4,152","24,600","10,015","35,012","36,800","3,995","3,519","26,095","45,905","51,245",,936,"2,356","12,572","9,172","1,364","-7,154","5,300","-4,826","-29,549",,,,,,,,,,
1/26,"45,402","35,906","2,943","17,057","2,100","27,090","8,178","3,539","37,000","2,900","11,963","23,600","8,943","20,050","35,600","-13,835","3,619","18,463","36,537","40,495",,"1,154",746,"11,628","9,567","18,219","4,555","6,700","-19,393","-21,675",,,,,,,,,,
2/26,"39,001","31,544","3,293","15,707","2,600","34,651","10,942","5,945","32,000","4,100","23,476","20,500","7,974","29,595","32,200","-12,992","4,470","25,752","51,848","-1,839",,"1,250",226,"10,742","6,326","-6,067","21,342","51,300","-43,525","8,919",,,,,,,,,,
3/26,"54,752","48,091","4,520","27,480","4,800","32,941","32,268","9,719","61,000","21,300","54,083","54,100","23,228","43,247","40,500","21,757","9,960","53,756","41,244","-22,269",,908,"20,304","-6,454","7,270","-67,208","59,153","32,700","-74,793","-1,817",,,,,,,,,,
4/26,"197,594","144,486","12,056","70,944","20,100","171,636","211,670","-29,510","117,000","21,900","74,317","226,600","125,173","82,320","62,800","10,211","21,814","170,266","77,473","-66,639",,"3,420","92,035","-22,264","50,126","-121,795","70,098","9,100","-24,946","-3,393",,,,,,,,,,
5/26,"601,811","378,913","32,683","203,327","53,000","298,009","220,506","4,444","221,700","2,600","115,169","394,220","219,829","194,547","121,500","48,892","64,148","325,794","195,884","-10,621",,655,"11,662","10,434","34,133","-64,926","29,552","2,200","-12,216","-64,549",,,,,,,,,,
6/26,"888,322","466,245","53,909","267,819","56,600","262,971","125,680","61,597","203,700","3,800","88,603","269,878","112,684","146,849","145,400","86,230","78,721","353,749","270,169","189,074",,117,0,"46,892","7,719","209,024","30,966","1,700","-20,197","-103,500",,,,,,,,,,
7/26,"420,167","243,285","26,488","107,594","10,600","141,476","46,734","40,616","149,800","14,900","22,015","66,091","14,660","70,618","66,000","95,614","25,933","79,565","131,015","163,911",,776,462,"44,879","7,388","70,234","42,311","1,700","25,622","-121,624",,,,,,,,,,
8/26,"165,558","84,610","12,087","62,083","5,300","61,615","22,648","10,474","81,900","7,500","30,935","32,824","6,421","42,839","45,800","33,094","13,991","60,937","57,860","77,981",,"1,283","5,792","38,181","6,731","23,225","-1,442","6,600","-23,957","-85,092",,,,,,,,,,
9/26,"72,277","43,403","9,762","27,476","2,600","26,505","15,843",-927,"49,900","2,500","19,090","16,624","7,223","21,974","23,200","-8,701","8,141","36,942","25,036","52,141",,"2,579","52,425","37,645","6,708","-64,726","10,733","18,900","-4,394","-55,061",,,,,,,,,,
10/26,"65,037","47,333","6,310","31,890","3,500","48,188","37,209","-6,614","41,200",600,"26,075","19,794","9,210","10,620","36,200","-13,362","3,195","45,451","60,723","-6,903",,952,"2,312","37,687","7,127","25,092","14,255","5,200","-14,700","-36,085",,,,,,,,,,
11/26,"56,936","35,322","3,945","27,055","4,800","38,721","15,145","4,907","35,000","2,900","14,220","18,100","4,973","14,887","24,100","-4,813","2,447","40,850","12,150","-12,499",,"2,118",934,"36,995","15,005","-43,692","-13,735","4,600","-29,200","-23,896",,,,,,,,,,
12/26,"45,788","38,426","3,067","24,933","2,100","34,760","13,210","4,010","22,000","8,700",-530,"20,200","4,950","28,935","24,900","1,181","3,451","21,053","30,947","51,627",,"1,115",805,"36,818","12,262",-986,"6,813","16,400","-32,304","-28,994",,,,,,,,,,
1/27,"43,431","41,673","2,636","21,364","3,000","32,060","11,663","7,622","26,000","1,600","14,071","19,600","4,945","24,091","24,600","-5,877","3,816","23,976","26,924","14,409",,"1,297","3,006","22,691","12,896","3,236","-2,658","20,900","1,582","71,385",,,,,,,,,,
2/27,"38,914","38,021","2,668","21,332","3,700","30,293","15,823","9,653","25,000","2,700","12,129","17,200","3,991","27,509","30,500","-3,855","4,271","34,245","48,155","27,874",,"3,019","66,789","7,390","17,070","52,865","7,476","159,000","-9,904","22,822",,,,,,,,,,
3/27,"52,940","40,834","2,123","30,877","6,300","36,901","31,836","7,392","40,000","8,700","40,663","36,200","13,983","25,571","52,800","5,425","7,395","66,804","59,196","40,933",,"3,326","82,152","-8,987","18,838","-14,441","-7,680","101,400","-16,699","17,983",,,,,,,,,,
4/27,"135,702","86,777","7,631","80,369","22,300","125,388","216,532","-13,865","64,000","8,100","74,413","189,800","109,210","43,126","30,900","-20,447","14,265","235,248","130,245","-170,633",,383,"55,259","15,764","32,106","-92,224","-4,537","28,100","-15,602","-28,606",,,,,,,,,,
5/27,"711,125","424,425","37,221","317,789","76,500","363,021","299,264","-10,837","220,300","-1,300","179,980","520,496","245,638","205,535","98,800","95,529","70,690","403,551","315,111","-224,446",,125,"6,362","2,736","28,506","-55,437","-4,971","7,000","-20,282","-67,955",,,,,,,,,,
6/27,"711,514","462,090","49,292","298,136","59,500","237,020","217,860","57,247","503,900","56,500","153,227","364,739","111,901","240,966","107,000","-2,378","90,816","382,615","239,193","-213,812",,"1,063","40,389","-23,600","8,793","-145,541","28,308","5,100","-37,258","-67,822",,,,,,,,,,
7/27,"324,628","317,975","30,217","149,665","16,900","172,658","114,448","53,828","338,400","29,300","62,160","112,785","44,543","115,935","64,500","176,233","38,942","273,177","233,513","371,000",,"2,880","22,433","96,434","8,379","210,444","47,446","5,400","-23,570","-22,496",,,,,,,,,,
8/27,"183,243","158,331","14,581","89,289","8,700","57,630","94,015","15,514","132,800","10,000","62,315","41,282","7,995","51,712","41,600","-5,597","20,543","97,635","85,916","95,867",,"4,439","22,632","40,566","15,511","32,450","22,976","20,600","-23,969","-68,017",,,,,,,,,,
9/27,"99,459","134,874","17,410","88,428","8,100","84,804","113,591","31,934","105,900","10,800","29,287","21,200","4,556","110,335","36,700","111,994","15,541","313,663","396,899","278,223",,"25,216","126,510","-19,030","27,428","-13,005","-2,611","58,700","-8,325","-167,848",,,,,,,,,,
10/27,"95,601","81,058","12,705","57,295","7,000","69,731","57,887","10,368","73,500","19,600",397,"30,955","11,772","68,183","33,900","41,930","8,680","70,500","127,759","69,383",,887,412,"28,216","23,118","91,127","-14,586",300,"19,463","-63,929",,,,,,,,,,
